method,sid,sequence_identity,sequence_similarity,len
carbonara_minseqsim,3SR3_A,0.25225225225225223,0.4444444444444444,333
esm,3SR3_A,0.5975975975975976,0.7717717717717718,333
mpnn,3SR3_A,0.5135135135135135,0.6726726726726727,333
baseline,3SR3_B,1.0,1.0,304
carbonara_maxseqid,3SR3_B,0.5657894736842105,0.7269736842105263,304
carbonara_minseqid,3SR3_B,0.26973684210526316,0.6348684210526315,304
carbonara_minseqsim,3SR3_B,0.26644736842105265,0.4769736842105263,304
esm,3SR3_B,0.5953947368421053,0.7796052631578947,304
mpnn,3SR3_B,0.5493421052631579,0.7302631578947368,304
baseline,3T5M_A,1.0,1.0,335
carbonara_maxseqid,3T5M_A,0.5850746268656717,0.7940298507462686,335
carbonara_minseqid,3T5M_A,0.2656716417910448,0.6925373134328359,335
carbonara_minseqsim,3T5M_A,0.26865671641791045,0.46567164179104475,335
esm,3T5M_A,0.6029850746268657,0.7970149253731343,335
mpnn,3T5M_A,0.564179104477612,0.7432835820895523,335
baseline,3T5M_B,1.0,1.0,333
carbonara_maxseqid,3T5M_B,0.5825825825825826,0.7717717717717718,333
carbonara_minseqid,3T5M_B,0.2732732732732733,0.6786786786786787,333
carbonara_minseqsim,3T5M_B,0.2732732732732733,0.48348348348348347,333
esm,3T5M_B,0.6366366366366366,0.8138138138138138,333
mpnn,3T5M_B,0.5495495495495496,0.7177177177177178,333
baseline,3TYX_A,1.0,1.0,335
carbonara_maxseqid,3TYX_A,0.5462686567164179,0.7522388059701492,335
carbonara_minseqid,3TYX_A,0.23283582089552238,0.6567164179104478,335
carbonara_minseqsim,3TYX_A,0.23283582089552238,0.4417910447761194,335
esm,3TYX_A,0.5552238805970149,0.7492537313432835,335
mpnn,3TYX_A,0.5223880597014925,0.7134328358208956,335
baseline,3TYX_B,1.0,1.0,332
carbonara_maxseqid,3TYX_B,0.5240963855421686,0.7168674698795181,332
carbonara_minseqid,3TYX_B,0.22590361445783133,0.608433734939759,332
carbonara_minseqsim,3TYX_B,0.2289156626506024,0.42771084337349397,332
esm,3TYX_B,0.5843373493975904,0.7650602409638554,332
mpnn,3TYX_B,0.5451807228915663,0.7349397590361446,332
baseline,3U1B_A,1.0,1.0,336
carbonara_maxseqid,3U1B_A,0.5714285714285714,0.7440476190476191,336
carbonara_minseqid,3U1B_A,0.2619047619047619,0.6309523809523809,336
carbonara_minseqsim,3U1B_A,0.25892857142857145,0.4523809523809524,336
esm,3U1B_A,0.5922619047619048,0.7648809523809523,336
mpnn,3U1B_A,0.5505952380952381,0.7202380952380952,336
baseline,3U1B_B,1.0,1.0,333
carbonara_maxseqid,3U1B_B,0.5555555555555556,0.7267267267267268,333
carbonara_minseqid,3U1B_B,0.2702702702702703,0.6456456456456456,333
carbonara_minseqsim,3U1B_B,0.2702702702702703,0.45045045045045046,333
esm,3U1B_B,0.5915915915915916,0.7687687687687688,333
mpnn,3U1B_B,0.5615615615615616,0.7237237237237237,333
baseline,3VPZ_A,1.0,1.0,322
carbonara_maxseqid,3VPZ_A,0.5559006211180124,0.7267080745341615,322
carbonara_minseqid,3VPZ_A,0.22981366459627328,0.6024844720496895,322
carbonara_minseqsim,3VPZ_A,0.22981366459627328,0.43167701863354035,322
esm,3VPZ_A,0.6149068322981367,0.7422360248447205,322
mpnn,3VPZ_A,0.515527950310559,0.6832298136645962,322
baseline,4CRP_A,1.0,1.0,107
carbonara_maxseqid,4CRP_A,0.35514018691588783,0.5233644859813084,107
carbonara_minseqid,4CRP_A,0.14018691588785046,0.45794392523364486,107
carbonara_minseqsim,4CRP_A,0.14018691588785046,0.24299065420560748,107
esm,4CRP_A,0.34579439252336447,0.4485981308411215,107
mpnn,4CRP_A,0.32710280373831774,0.4485981308411215,107
baseline,4GBQ_A,1.0,1.0,57
carbonara_maxseqid,4GBQ_A,0.40350877192982454,0.6842105263157895,57
carbonara_minseqid,4GBQ_A,0.12280701754385964,0.543859649122807,57
carbonara_minseqsim,4GBQ_A,0.12280701754385964,0.2807017543859649,57
esm,4GBQ_A,0.3508771929824561,0.6491228070175439,57
mpnn,4GBQ_A,0.42105263157894735,0.6842105263157895,57
baseline,4INJ_A,1.0,1.0,326
carbonara_maxseqid,4INJ_A,0.5828220858895705,0.7515337423312883,326
carbonara_minseqid,4INJ_A,0.19938650306748465,0.6196319018404908,326
carbonara_minseqsim,4INJ_A,0.19938650306748465,0.40797546012269936,326
esm,4INJ_A,0.5613496932515337,0.7699386503067485,326
mpnn,4INJ_A,0.4723926380368098,0.647239263803681,326
baseline,4INJ_B,1.0,1.0,326
carbonara_maxseqid,4INJ_B,0.5429447852760736,0.7423312883435583,326
carbonara_minseqid,4INJ_B,0.1901840490797546,0.6257668711656442,326
carbonara_minseqsim,4INJ_B,0.1901840490797546,0.401840490797546,326
esm,4INJ_B,0.5552147239263804,0.7361963190184049,326
mpnn,4INJ_B,0.5061349693251533,0.6748466257668712,326
baseline,4J9B_A,1.0,1.0,58
carbonara_maxseqid,4J9B_A,0.5862068965517241,0.7586206896551724,58
carbonara_minseqid,4J9B_A,0.2413793103448276,0.6896551724137931,58
carbonara_minseqsim,4J9B_A,0.2413793103448276,0.5,58
esm,4J9B_A,0.5172413793103449,0.6896551724137931,58
mpnn,4J9B_A,0.43103448275862066,0.603448275862069,58
baseline,4J9C_A,1.0,1.0,58
carbonara_maxseqid,4J9C_A,0.6379310344827587,0.8103448275862069,58
carbonara_minseqid,4J9C_A,0.2413793103448276,0.7413793103448276,58
carbonara_minseqsim,4J9C_A,0.2413793103448276,0.4827586206896552,58
esm,4J9C_A,0.6206896551724138,0.7758620689655172,58
mpnn,4J9C_A,0.5,0.6379310344827587,58
baseline,4J9D_A,1.0,1.0,56
carbonara_maxseqid,4J9D_A,0.5535714285714286,0.75,56
carbonara_minseqid,4J9D_A,0.2857142857142857,0.625,56
carbonara_minseqsim,4J9D_A,0.2857142857142857,0.48214285714285715,56
esm,4J9D_A,0.6071428571428571,0.8214285714285714,56
mpnn,4J9D_A,0.44642857142857145,0.5892857142857143,56
baseline,4J9E_A,1.0,1.0,56
carbonara_maxseqid,4J9E_A,0.6071428571428571,0.8214285714285714,56
carbonara_minseqid,4J9E_A,0.26785714285714285,0.7142857142857143,56
carbonara_minseqsim,4J9E_A,0.26785714285714285,0.5357142857142857,56
esm,4J9E_A,0.625,0.7857142857142857,56
mpnn,4J9E_A,0.4642857142857143,0.6071428571428571,56
baseline,4J9F_A,1.0,1.0,62
carbonara_maxseqid,4J9F_A,0.5967741935483871,0.7419354838709677,62
carbonara_minseqid,4J9F_A,0.24193548387096775,0.6612903225806451,62
carbonara_minseqsim,4J9F_A,0.24193548387096775,0.45161290322580644,62
esm,4J9F_A,0.5645161290322581,0.7258064516129032,62
mpnn,4J9F_A,0.3870967741935484,0.532258064516129,62
baseline,4J9G_A,1.0,1.0,58
carbonara_maxseqid,4J9G_A,0.5517241379310345,0.7413793103448276,58
carbonara_minseqid,4J9G_A,0.22413793103448276,0.6724137931034483,58
carbonara_minseqsim,4J9G_A,0.22413793103448276,0.4482758620689655,58
esm,4J9G_A,0.5862068965517241,0.7931034482758621,58
mpnn,4J9G_A,0.5,0.6379310344827587,58
baseline,4J9H_A,1.0,1.0,59
carbonara_maxseqid,4J9H_A,0.5932203389830508,0.7457627118644068,59
carbonara_minseqid,4J9H_A,0.22033898305084745,0.6101694915254238,59
carbonara_minseqsim,4J9H_A,0.22033898305084745,0.423728813559322,59
esm,4J9H_A,0.6271186440677966,0.7796610169491526,59
mpnn,4J9H_A,0.5084745762711864,0.6779661016949152,59
baseline,4J9I_A,1.0,1.0,56
carbonara_maxseqid,4J9I_A,0.5714285714285714,0.7142857142857143,56
carbonara_minseqid,4J9I_A,0.25,0.6428571428571429,56
carbonara_minseqsim,4J9I_A,0.25,0.4642857142857143,56
esm,4J9I_A,0.5714285714285714,0.8035714285714286,56
mpnn,4J9I_A,0.5,0.625,56
baseline,4JJB_A,1.0,1.0,57
carbonara_maxseqid,4JJB_A,0.5614035087719298,0.7192982456140351,57
carbonara_minseqid,4JJB_A,0.22807017543859648,0.6842105263157895,57
carbonara_minseqsim,4JJB_A,0.22807017543859648,0.49122807017543857,57
esm,4JJB_A,0.5263157894736842,0.7192982456140351,57
mpnn,4JJB_A,0.5087719298245614,0.6666666666666666,57
baseline,4JJC_A,1.0,1.0,58
carbonara_maxseqid,4JJC_A,0.5689655172413793,0.7241379310344828,58
carbonara_minseqid,4JJC_A,0.20689655172413793,0.6724137931034483,58
carbonara_minseqsim,4JJC_A,0.20689655172413793,0.5,58
esm,4JJC_A,0.5344827586206896,0.6724137931034483,58
mpnn,4JJC_A,0.5862068965517241,0.7413793103448276,58
baseline,4JJD_A,1.0,1.0,59
carbonara_maxseqid,4JJD_A,0.4915254237288136,0.6949152542372882,59
carbonara_minseqid,4JJD_A,0.23728813559322035,0.6271186440677966,59
carbonara_minseqsim,4JJD_A,0.23728813559322035,0.4576271186440678,59
esm,4JJD_A,0.4576271186440678,0.6610169491525424,59
mpnn,4JJD_A,0.4745762711864407,0.6949152542372882,59
baseline,4JVO_A,1.0,1.0,336
carbonara_maxseqid,4JVO_A,0.5625,0.7470238095238095,336
carbonara_minseqid,4JVO_A,0.2261904761904762,0.6160714285714286,336
carbonara_minseqsim,4JVO_A,0.2261904761904762,0.44642857142857145,336
esm,4JVO_A,0.6309523809523809,0.8005952380952381,336
mpnn,4JVO_A,0.5565476190476191,0.75,336
baseline,4JVO_B,1.0,1.0,332
carbonara_maxseqid,4JVO_B,0.5542168674698795,0.7319277108433735,332
carbonara_minseqid,4JVO_B,0.25903614457831325,0.6355421686746988,332
carbonara_minseqsim,4JVO_B,0.25903614457831325,0.463855421686747,332
esm,4JVO_B,0.6325301204819277,0.8132530120481928,332
mpnn,4JVO_B,0.5572289156626506,0.7379518072289156,332
baseline,4KI5_M,1.0,1.0,154
carbonara_maxseqid,4KI5_M,0.5324675324675324,0.7077922077922078,154
carbonara_minseqid,4KI5_M,0.2077922077922078,0.6233766233766234,154
carbonara_minseqsim,4KI5_M,0.2077922077922078,0.474025974025974,154
esm,4KI5_M,0.5909090909090909,0.7272727272727273,154
mpnn,4KI5_M,0.5064935064935064,0.6298701298701299,154
baseline,4MJX_A,1.0,1.0,333
carbonara_maxseqid,4MJX_A,0.5615615615615616,0.7537537537537538,333
carbonara_minseqid,4MJX_A,0.26426426426426425,0.6456456456456456,333
carbonara_minseqsim,4MJX_A,0.2672672672672673,0.4804804804804805,333
esm,4MJX_A,0.6216216216216216,0.7867867867867868,333
mpnn,4MJX_A,0.5735735735735735,0.7417417417417418,333
baseline,4MJX_B,1.0,1.0,336
carbonara_maxseqid,4MJX_B,0.5595238095238095,0.7589285714285714,336
carbonara_minseqid,4MJX_B,0.23214285714285715,0.6279761904761905,336
carbonara_minseqsim,4MJX_B,0.23214285714285715,0.44345238095238093,336
esm,4MJX_B,0.5892857142857143,0.7648809523809523,336
mpnn,4MJX_B,0.5535714285714286,0.7470238095238095,336
baseline,4MO3_M,1.0,1.0,156
carbonara_maxseqid,4MO3_M,0.5128205128205128,0.6730769230769231,156
carbonara_minseqid,4MO3_M,0.2564102564102564,0.5961538461538461,156
carbonara_minseqsim,4MO3_M,0.2564102564102564,0.46794871794871795,156
esm,4MO3_M,0.6025641025641025,0.7371794871794872,156
mpnn,4MO3_M,0.532051282051282,0.717948717948718,156
baseline,4XL5_C,1.0,1.0,245
carbonara_maxseqid,4XL5_C,0.6653061224489796,0.7918367346938775,245
carbonara_minseqid,4XL5_C,0.34285714285714286,0.6571428571428571,245
carbonara_minseqsim,4XL5_C,0.34285714285714286,0.4163265306122449,245
esm,4XL5_C,0.726530612244898,0.8326530612244898,245
mpnn,4XL5_C,0.6857142857142857,0.7877551020408163,245
baseline,5AWW_G,1.0,1.0,75
carbonara_maxseqid,5AWW_G,0.30666666666666664,0.44,75
carbonara_minseqid,5AWW_G,0.16,0.38666666666666666,75
carbonara_minseqsim,5AWW_G,0.16,0.21333333333333335,75
esm,5AWW_G,0.4266666666666667,0.6266666666666667,75
mpnn,5AWW_G,0.16,0.21333333333333335,75
baseline,5AWW_Y,1.0,1.0,424
carbonara_maxseqid,5AWW_Y,0.5400943396226415,0.7264150943396226,424
carbonara_minseqid,5AWW_Y,0.2099056603773585,0.6438679245283019,424
carbonara_minseqsim,5AWW_Y,0.2099056603773585,0.3891509433962264,424
esm,5AWW_Y,0.5188679245283019,0.6910377358490566,424
mpnn,5AWW_Y,0.46226415094339623,0.6014150943396226,424
baseline,5CH4_G,1.0,1.0,74
carbonara_maxseqid,5CH4_G,0.3783783783783784,0.4864864864864865,74
carbonara_minseqid,5CH4_G,0.17567567567567569,0.43243243243243246,74
carbonara_minseqsim,5CH4_G,0.17567567567567569,0.2702702702702703,74
esm,5CH4_G,0.33783783783783783,0.44594594594594594,74
mpnn,5CH4_G,0.10810810810810811,0.22972972972972974,74
baseline,5CH4_Y,1.0,1.0,421
carbonara_maxseqid,5CH4_Y,0.47743467933491684,0.665083135391924,421
carbonara_minseqid,5CH4_Y,0.17577197149643706,0.5676959619952494,421
carbonara_minseqsim,5CH4_Y,0.17577197149643706,0.3087885985748218,421
esm,5CH4_Y,0.42755344418052255,0.5938242280285035,421
mpnn,5CH4_Y,0.4085510688836104,0.5866983372921615,421
baseline,5EUL_Y,1.0,1.0,380
carbonara_maxseqid,5EUL_Y,0.41842105263157897,0.6157894736842106,380
carbonara_minseqid,5EUL_Y,0.13157894736842105,0.5263157894736842,380
carbonara_minseqsim,5EUL_Y,0.13157894736842105,0.29736842105263156,380
esm,5EUL_Y,0.2789473684210526,0.46842105263157896,380
mpnn,5EUL_Y,0.25263157894736843,0.48157894736842105,380
baseline,5GAE_g,1.0,1.0,399
carbonara_maxseqid,5GAE_g,0.3283208020050125,0.531328320802005,399
carbonara_minseqid,5GAE_g,0.12280701754385964,0.45112781954887216,399
carbonara_minseqsim,5GAE_g,0.12280701754385964,0.21303258145363407,399
esm,5GAE_g,0.2731829573934837,0.45864661654135336,399
mpnn,5GAE_g,0.24060150375939848,0.45112781954887216,399
baseline,5IEB_A,1.0,1.0,118
carbonara_maxseqid,5IEB_A,0.3559322033898305,0.5254237288135594,118
carbonara_minseqid,5IEB_A,0.07627118644067797,0.3898305084745763,118
carbonara_minseqsim,5IEB_A,0.07627118644067797,0.17796610169491525,118
esm,5IEB_A,0.5338983050847458,0.6440677966101694,118
mpnn,5IEB_A,0.3728813559322034,0.5423728813559322,118
baseline,5IEJ_A,1.0,1.0,118
carbonara_maxseqid,5IEJ_A,0.4491525423728814,0.635593220338983,118
carbonara_minseqid,5IEJ_A,0.11016949152542373,0.4491525423728814,118
carbonara_minseqsim,5IEJ_A,0.11016949152542373,0.1864406779661017,118
esm,5IEJ_A,0.5338983050847458,0.7033898305084746,118
mpnn,5IEJ_A,0.2966101694915254,0.559322033898305,118
baseline,5LV6_A,1.0,1.0,44
carbonara_maxseqid,5LV6_A,0.3409090909090909,0.6136363636363636,44
carbonara_minseqid,5LV6_A,0.20454545454545456,0.5227272727272727,44
carbonara_minseqsim,5LV6_A,0.20454545454545456,0.2727272727272727,44
esm,5LV6_A,0.4090909090909091,0.5909090909090909,44
mpnn,5LV6_A,0.13636363636363635,0.38636363636363635,44
baseline,5LV6_B,1.0,1.0,44
carbonara_maxseqid,5LV6_B,0.38636363636363635,0.6363636363636364,44
carbonara_minseqid,5LV6_B,0.20454545454545456,0.5,44
carbonara_minseqsim,5LV6_B,0.20454545454545456,0.22727272727272727,44
esm,5LV6_B,0.4090909090909091,0.5909090909090909,44
mpnn,5LV6_B,0.20454545454545456,0.4090909090909091,44
baseline,5NP3_A,1.0,1.0,57
carbonara_maxseqid,5NP3_A,0.5263157894736842,0.8245614035087719,57
carbonara_minseqid,5NP3_A,0.24561403508771928,0.7543859649122807,57
carbonara_minseqsim,5NP3_A,0.24561403508771928,0.45614035087719296,57
esm,5NP3_A,0.5087719298245614,0.7368421052631579,57
mpnn,5NP3_A,0.5263157894736842,0.6842105263157895,57
baseline,5O2M_A,1.0,1.0,81
carbonara_maxseqid,5O2M_A,0.37037037037037035,0.5555555555555556,81
carbonara_minseqid,5O2M_A,0.18518518518518517,0.5308641975308642,81
carbonara_minseqsim,5O2M_A,0.18518518518518517,0.3333333333333333,81
esm,5O2M_A,0.37037037037037035,0.6666666666666666,81
mpnn,5O2M_A,0.345679012345679,0.6049382716049383,81
baseline,5OAZ_A,1.0,1.0,59
carbonara_maxseqid,5OAZ_A,0.6101694915254238,0.7627118644067796,59
carbonara_minseqid,5OAZ_A,0.23728813559322035,0.6610169491525424,59
carbonara_minseqsim,5OAZ_A,0.23728813559322035,0.5084745762711864,59
esm,5OAZ_A,0.559322033898305,0.7288135593220338,59
mpnn,5OAZ_A,0.559322033898305,0.711864406779661,59
baseline,6A5I_A,1.0,1.0,67
carbonara_maxseqid,6A5I_A,0.40298507462686567,0.5522388059701493,67
carbonara_minseqid,6A5I_A,0.14925373134328357,0.417910447761194,67
carbonara_minseqsim,6A5I_A,0.14925373134328357,0.2537313432835821,67
esm,6A5I_A,0.4925373134328358,0.6417910447761194,67
mpnn,6A5I_A,0.34328358208955223,0.4925373134328358,67
baseline,6AEX_U,1.0,1.0,165
carbonara_maxseqid,6AEX_U,0.5757575757575758,0.6909090909090909,165
carbonara_minseqid,6AEX_U,0.34545454545454546,0.5878787878787879,165
carbonara_minseqsim,6AEX_U,0.34545454545454546,0.44242424242424244,165
esm,6AEX_U,0.6121212121212121,0.7272727272727273,165
mpnn,6AEX_U,0.4727272727272727,0.6242424242424243,165
baseline,6CWY_D,1.0,1.0,487
carbonara_maxseqid,6CWY_D,0.5359342915811088,0.7207392197125256,487
carbonara_minseqid,6CWY_D,0.1971252566735113,0.62217659137577,487
carbonara_minseqsim,6CWY_D,0.1971252566735113,0.41683778234086244,487
esm,6CWY_D,0.5195071868583162,0.6858316221765913,487
mpnn,6CWY_D,0.46611909650924027,0.6468172484599589,487
baseline,6FGN_A,1.0,1.0,124
carbonara_maxseqid,6FGN_A,0.25806451612903225,0.46774193548387094,124
carbonara_minseqid,6FGN_A,0.08064516129032258,0.3790322580645161,124
carbonara_minseqsim,6FGN_A,0.08064516129032258,0.11290322580645161,124
esm,6FGN_A,0.20161290322580644,0.4596774193548387,124
mpnn,6FGN_A,0.20161290322580644,0.46774193548387094,124
baseline,6FGS_A,1.0,1.0,130
carbonara_maxseqid,6FGS_A,0.38461538461538464,0.5461538461538461,130
carbonara_minseqid,6FGS_A,0.15384615384615385,0.4230769230769231,130
carbonara_minseqsim,6FGS_A,0.15384615384615385,0.2,130
esm,6FGS_A,0.35384615384615387,0.5307692307692308,130
mpnn,6FGS_A,0.24615384615384617,0.4,130
baseline,6FIC_T,1.0,1.0,245
carbonara_maxseqid,6FIC_T,0.5183673469387755,0.6938775510204082,245
carbonara_minseqid,6FIC_T,0.20408163265306123,0.5673469387755102,245
carbonara_minseqsim,6FIC_T,0.20408163265306123,0.34285714285714286,245
esm,6FIC_T,0.5918367346938775,0.7714285714285715,245
mpnn,6FIC_T,0.42857142857142855,0.6204081632653061,245
baseline,6GQ9_A,1.0,1.0,161
carbonara_maxseqid,6GQ9_A,0.2919254658385093,0.45962732919254656,161
carbonara_minseqid,6GQ9_A,0.09316770186335403,0.37267080745341613,161
carbonara_minseqsim,6GQ9_A,0.09316770186335403,0.11801242236024845,161
esm,6GQ9_A,0.2732919254658385,0.4782608695652174,161
mpnn,6GQ9_A,0.2360248447204969,0.43478260869565216,161
baseline,6H8C_A,1.0,1.0,116
carbonara_maxseqid,6H8C_A,0.31896551724137934,0.5517241379310345,116
carbonara_minseqid,6H8C_A,0.08620689655172414,0.45689655172413796,116
carbonara_minseqsim,6H8C_A,0.08620689655172414,0.1724137931034483,116
esm,6H8C_A,0.28448275862068967,0.5258620689655172,116
mpnn,6H8C_A,0.3017241379310345,0.49137931034482757,116
baseline,6ITC_Y,1.0,1.0,420
carbonara_maxseqid,6ITC_Y,0.4357142857142857,0.6238095238095238,420
carbonara_minseqid,6ITC_Y,0.12857142857142856,0.5476190476190477,420
carbonara_minseqsim,6ITC_Y,0.13095238095238096,0.3142857142857143,420
esm,6ITC_Y,0.37857142857142856,0.5880952380952381,420
mpnn,6ITC_Y,0.319047619047619,0.5452380952380952,420
baseline,6KBR_C,1.0,1.0,55
carbonara_maxseqid,6KBR_C,0.509090909090909,0.6363636363636364,55
carbonara_minseqid,6KBR_C,0.3090909090909091,0.5818181818181818,55
carbonara_minseqsim,6KBR_C,0.3090909090909091,0.43636363636363634,55
esm,6KBR_C,0.4909090909090909,0.6,55
mpnn,6KBR_C,0.45454545454545453,0.6,55
baseline,6P6B_A,1.0,1.0,90
carbonara_maxseqid,6P6B_A,0.26666666666666666,0.5,90
carbonara_minseqid,6P6B_A,0.011111111111111112,0.43333333333333335,90
carbonara_minseqsim,6P6B_A,0.011111111111111112,0.16666666666666666,90
esm,6P6B_A,0.4,0.5444444444444444,90
mpnn,6P6B_A,0.34444444444444444,0.5666666666666667,90
baseline,6PNW_A,1.0,1.0,62
carbonara_maxseqid,6PNW_A,0.5,0.7096774193548387,62
carbonara_minseqid,6PNW_A,0.27419354838709675,0.5806451612903226,62
carbonara_minseqsim,6PNW_A,0.27419354838709675,0.3225806451612903,62
esm,6PNW_A,0.5645161290322581,0.7903225806451613,62
mpnn,6PNW_A,0.45161290322580644,0.6451612903225806,62
baseline,6PNW_B,1.0,1.0,62
carbonara_maxseqid,6PNW_B,0.46774193548387094,0.7096774193548387,62
carbonara_minseqid,6PNW_B,0.27419354838709675,0.5967741935483871,62
carbonara_minseqsim,6PNW_B,0.27419354838709675,0.2903225806451613,62
esm,6PNW_B,0.5161290322580645,0.6612903225806451,62
mpnn,6PNW_B,0.46774193548387094,0.6774193548387096,62
baseline,6R3C_A,1.0,1.0,159
carbonara_maxseqid,6R3C_A,0.2893081761006289,0.48427672955974843,159
carbonara_minseqid,6R3C_A,0.08176100628930817,0.3836477987421384,159
carbonara_minseqsim,6R3C_A,0.08176100628930817,0.1320754716981132,159
esm,6R3C_A,0.31446540880503143,0.4779874213836478,159
mpnn,6R3C_A,0.2578616352201258,0.44654088050314467,159
